"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3338","test_create_folder","tests","2026-08-04","passed","2026-08-04","TestFolders","test_folders","",""
"","3168","test_copy_to_existing_path","tests","2026-08-04","passed","2026-08-04","TestCopyMove","test_operations","",""
"","313","test_get_disk_info","tests","2026-08-04","passed","2026-08-04","TestDiskInfo","test_disk_info","",""
"","502","test_created_folder_is_dir","tests","2026-08-04","passed","2026-08-04","TestFolders","test_folders","",""
"","2710","test_copy_keeps_source","tests","2026-08-04","passed","2026-08-04","TestCopyMove","test_operations","",""
"","2641","test_move_removes_source","tests","2026-08-04","passed","2026-08-04","TestCopyMove","test_operations","",""
"","2800","test_permanent_delete_not_in_trash","tests","2026-08-04","passed","2026-08-04","TestTrash","test_trash","",""
"","3102","test_delete_moves_to_trash","tests","2026-08-04","passed","2026-08-04","TestTrash","test_trash","",""
"","2330","test_delete_folder","tests","2026-08-04","passed","2026-08-04","TestFolders","test_folders","",""
"","280","test_disk_info_schema","tests","2026-08-04","passed","2026-08-04","TestDiskInfo","test_disk_info","",""
"","6308","test_restore_from_trash","tests","2026-08-04","passed","2026-08-04","TestTrash","test_trash","",""
"","456","test_create_duplicate","tests","2026-08-04","passed","2026-08-04","TestFolders","test_folders","",""
"","2671","test_copy_folder","tests","2026-08-04","passed","2026-08-04","TestCopyMove","test_operations","",""
